repo_name,count
ottogroup/palladium,4
Arsey/keras-transfer-learning-for-oxford102,4
KarchinLab/2020plus,4
fukatani/rgf_python,4
imatge-upc/saliency-2016-cvpr,4
eecs445-f16/umich-eecs445-f16,4
shincling/MemNN_and_Varieties,4
wellflat/cat-fancier,4
gogartom/TextMaps,4
GGiecold/ECLAIR,4
wkentaro/fcn,4
scikit-learn-contrib/py-earth,4
chrisquince/DESMAN,4
rjurney/Agile_Data_Code_2,4
gtrichards/PHYS_T480,4
bdol/bdol-ml,4
skygenomics/CSBB-v1.0,4
hmmlearn/hmmlearn,4
Kitware/SMQTK,4
hammerlab/fancyimpute,4
ianlini/feagen,4
dclambert/pyensemble,4
edx/ease,4
neuropoly/spinalcordtoolbox,4
tobegit3hub/deep_recommend_system,4
recruit-tech/xchainer,4
Aurora0001/LearnProgrammingBot,4
CIFASIS/VDiscover,4
autoreject/autoreject,4
dclambert/Python-ELM,4
lucidfrontier45/scikit-chainer,4
apache/incubator-systemml,4
EpistasisLab/scikit-mdr,4
hochthom/kaggle-taxi-ii,4
derekgreene/topic-stability,4
jakevdp/ESAC-stats-2014,4
scorpionhiccup/StockPricePrediction,4
burakbayramli/kod,4
zygmuntz/Python-ELM,4
authman/DAT210x,4
dibyatanoy/Bengali-Handwritten-Character-Recognition-Using-Convolutional-Neural-Networks,4
deepjets/deepjets,4
computational-class/cjc2016,4
the-deep-learners/study-group,3
govinda-kamath/clustering_on_transcript_compatibility_counts,3
WladimirSidorenko/DiscourseSenser,3
bytefish/facerec,3
pprakhar30/EEGSignalAnalysis,3
rmjarvis/Piff,3
raingo/TGIF-Release,3
hsinhuang/njucaptcha,3
selective-inference/Python-software,3
nistats/nistats,3
rabitt/motif,3
kastnerkyle/PyCon2015,3
EasonLiao/CudaTree,3
mpearmain/BayesBoost,3
bmcfee/pumpp,3
jcrudy/py-earth,3
epierson9/ZIFA,3
catniplab/vLGP,3
yassineAlouini/kaggle-tools,3
pyk/rojak,3
saebrahimi/Emotion-Recognition-RNN,3
SheffieldML/GPy,3
ceholden/yatsm,3
eliben/deep-learning-samples,3
luhaofang/tripletloss,3
pachyderm/pachyderm,3
sharadmv/deepx,3
locuslab/icnn,3
statsmodels/statsmodels,3
Quantia-Analytics/AzureML-Regression-Example,3
AVGInnovationLabs/DoNotSnap,3
neurosynth/neurosynth,3
trustedanalytics/spark-tk,3
acoular/acoular,3
youralien/image-captioning-for-mortals,3
summerAI/serapis,3
Avmb/lowrank-gru,3
KordingLab/spykes,3
romanorac/discomll,3
Marigold/universal-portfolios,3
fabianp/minirank,3
cbyn/bitpredict,3
MKLab-ITI/news-popularity-prediction,3
mackelab/autohmm,3
alexandrebarachant/bci-challenge-ner-2015,3
yahoo/lopq,3
canard0328/malss,3
xflows/clowdflows,3
abhyudaynj/LSTM-CRF-models,3
ciaua/clip2frame,3
dssg/givinggraph,3
giacbrd/ShallowLearn,3
mwleeds/android-malware-analysis,3
bikz05/object-detector,3
ryanlayer/gqt,3
tedunderwood/fiction,3
drewabbot/kaggle-seizure-prediction,3
anlthms/sp-2016,3
xeneta/LeadQualifier,3
taolei87/rcnn,3
ctherien/pysptools,3
Netflix/vmaf,3
wetneb/dissemin,3
BradNeuberg/personal-photos-model,3
danielhomola/mifs,3
flaviovdf/tribeflow,3
ujjwalkarn/DataSciencePython,3
vortex-exoplanet/VIP,3
MichaelHills/seizure-detection,3
jlnh/SeizurePrediction,3
reidpr/quac,3
dawenl/stochastic_PMF,3
ajtulloch/sklearn-compiledtrees,3
jakevdp/2013_fall_ASTR599,3
SeanTater/uncc2014watsonsim,3
jiyfeng/DPLP,3
jakevdp/2014_fall_ASTR599,3
ssaamm/sign-language-tutor,3
choldgraf/ecogtools,3
rbjarnason/active-citizen,3
zygmuntz/kaggle-happiness,3
rsteca/sklearn-deap,3
ntucllab/striatum,3
PIA-Group/BioSPPy,3
quaquel/EMAworkbench,3
shockline/DeepEmbedding,3
berkeley-stat222/mousestyles,3
dlmacedo/SVM-CNN,3
Quantiacs/quantiacs-python,3
pydata/pyrallel,3
ITCoders/Human-detection-and-Tracking,3
Microsoft/PTVS,3
dougalsutherland/opt-mmd,3
BIDData/BIDMach,3
neurospin/pylearn-parsimony,3
ArmlessJohn404/calcuMLator,3
AndreasMadsen/course-02456-sparsemax,3
jakevdp/klsh,3
jonathanmasci/ShapeNet,3
hahnicity/pytrader,2
zackchase/icu_rnn,2
pmelchior/pygmmis,2
viveksck/langchangetrack,2
ibm-watson-iot/blockchain-samples,2
cgarrard/osgeopy-code,2
serendio-labs/diskoveror-ta,2
daweileng/keras_MOD,2
TalkingData/Myna,2
mbernico/snape,2
CGATOxford/CGATPipelines,2
ishank26/Kutils,2
jakevdp/lpproj,2
danielhomola/boruta_py,2
tuanavu/coursera-university-of-washington,2
sebp/scikit-learn-mpi-grid-search,2
nladuo/captcha-break,2
douwekiela/mmfeat,2
AlexEne/CCrush-Bot,2
wikilinks/nel,2
anttttti/Wordbatch,2
schollz/find,2
5agado/conversation-analyzer,2
h2oai/steam,2
EducationalTestingService/rsmtool,2
vicapow/explained-visually,2
jcelliott/inquire,2
dask/dask,2
shorxp/tensorlayer-chinese,2
jeremybmerrill/bigappleserialbus,2
scikit-image/skimage-demos,2
kephale/TuftsCOMP135_Spring2016,2
equalitie/BotHound,2
averyallen71/dcgan-denosing-autoencoder,2
hankcs/udacity-deep-learning,2
madhusudancs/sentiment-analyzer,2
sbussmann/sensor-fusion,2
EliseJ/astroABC,2
RamaneekGill/Emotion-Recognition-,2
hyperspy/hyperspy,2
dzhu/myo-raw,2
qiyiping/gbdt,2
kootenpv/whereami,2
amygdala/tensorflow-workshop,2
awentzonline/image-analogies,2
adityamogadala/xLiMeSemanticIntegrator,2
douglasrizzo/catsim,2
rafacarrascosa/samr,2
anfederico/Clairvoyant,2
andosa/treeinterpreter,2
sassoftware/enlighten-integration,2
PyDataMadrid2016/Conference-Info,2
davidenitti/ML,2
hammerlab/cohorts,2
dribnet/plat,2
andreykurenkov/emailinsight,2
brentp/peddy,2
hall-lab/svtools,2
merenlab/anvio,2
