line,path,repo_name
from sklearn import metrics,tensorflow/examples/learn/iris_run_config.py,gojira/tensorflow
from sklearn import metrics,source.ml/jupyterhub.ml/notebooks/zz_old/TensorFlow/SkFlow_DEPRECATED/text_classification_save_restore.py,shareactorIO/pipeline
from sklearn import metrics,tensorflow/examples/learn/boston.py,chenjun0210/tensorflow
from sklearn import metrics,doc/tutorial/text_analytics/solutions/exercise_01_language_train_model.py,loli/semisupervisedforests
from sklearn import metrics,Dataset/create/cluster.py,avroshk/7100_Spring_16
from sklearn import metrics,cs224d/assignment2/nerwindow.py,pnpnpn/keras-attic
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_rnn.py,XueqingLin/tensorflow
from sklearn import metrics,ch08/corrneighbours.py,lokeshpancharia/BuildingMachineLearningSystemsWithPython
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,eth-n/tensorflow
from sklearn import metrics,_module45/CCCC_32_32.py,KennyCandy/HAR
from sklearn import metrics,tensorflow/examples/skflow/mnist_weights.py,dhalleine/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_val_based_early_stopping.py,Carmezim/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_val_based_early_stopping.py,XueqingLin/tensorflow
from sklearn import metrics,ch03/rel_post_20news.py,jhotujec/BuildingMachineLearningSystemsWithPython
from sklearn import metrics,jni-build/jni/include/tensorflow/examples/skflow/iris_custom_decay_dnn.py,natanielruiz/android-yolo
from sklearn import metrics,runs/2016/dnn2016med_hann/src/evaluation.py,rohit21122012/DCASE2013
from sklearn import metrics,tensorflow/examples/learn/iris.py,tongwang01/tensorflow
from sklearn import metrics,_doc/examples/plot_roc.py,sdpython/python3_module_template
from sklearn import metrics,tensorflow/examples/skflow/out_of_core_data_classification.py,MostafaGazar/tensorflow
from sklearn import metrics,tensorflow/examples/learn/multiple_gpu.py,jbedorf/tensorflow
from sklearn import metrics,knn.py,nanshihui/ipProxyDec
from sklearn import metrics,tensorflow/examples/learn/iris.py,GehenHe/Recognize-Face-on-Android
from sklearn import metrics,tensorflow/examples/learn/boston.py,pavelchristof/gomoku-ai
from sklearn import metrics,tensorflow/examples/learn/iris_custom_model.py,terrytangyuan/tensorflow
from sklearn import metrics,_module45/CCCC_16_32.py,KennyCandy/HAR
from sklearn import metrics,examples/cluster/plot_adjusted_for_chance_measures.py,B3AU/waveTree
from sklearn import metrics,tensorflow/examples/skflow/text_classification_cnn.py,wlsc/tensorflow
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_rnn.py,pierreg/tensorflow
from sklearn import metrics,cervical-cancer-screening/models/HyperoptXGB-BT.py,paulperry/kaggle
from sklearn import metrics,tensorflow/examples/learn/text_classification_builtin_rnn_model.py,anand-c-goog/tensorflow
from sklearn import metrics,examples/extensions/kmeans.py,tridao/cvxpy
from sklearn import metrics,architectures/conll16st-hd-sdp/cnn_class_micro_static_extended.py,jimmycallin/master-thesis
from sklearn import metrics,doc/tutorial/text_analytics/solutions/exercise_02_sentiment.py,CforED/Machine-Learning
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_rnn.py,ibmsoe/tensorflow
from sklearn import metrics,ForestCoverType/forestcovertype.py,RomainBrault/OVFM
from sklearn import metrics,tensorflow/examples/learn/text_classification.py,Bismarrck/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris.py,anand-c-goog/tensorflow
from sklearn import metrics,app/machine-learning/Python/prediction-data.py,zebogen/pollarity
from sklearn import metrics,tensorflow/examples/learn/mnist.py,jbedorf/tensorflow
from sklearn import metrics,tensorflow/contrib/tensorflow-master/tensorflow/examples/learn/text_classification_character_cnn.py,AsimmHirani/ISpyPi
from sklearn import metrics,tensorflow/examples/skflow/mnist.py,MostafaGazar/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris.py,gunan/tensorflow
from sklearn import metrics,c2-SVM.py,chongguang/scikitLearning
from sklearn import metrics,reuters_documents_classification.py,Saftophobia/word2vec_reuters_classification
from sklearn import metrics,liao/plot_cluster.py,NCLAB2016/DF_STEALL_ELECTRIC
from sklearn import metrics,Archive/[14_10_11] Dr_Jung_Update/df_data_analysis_ver4.py,TinyOS-Camp/DDEA-DEV
from sklearn import metrics,tensorflow/examples/learn/iris_custom_model.py,asadziach/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,apark263/tensorflow
from sklearn import metrics,Reproducibility/old/data_operations.py,oursu/Reproducibility
from sklearn import metrics,tensorflow/examples/learn/text_classification_cnn.py,jeffzheng1/tensorflow
from sklearn import metrics,tensorflow/examples/learn/hdf5_classification.py,ppwwyyxx/tensorflow
from sklearn import metrics,Model/20News/20news_LSTM-SVM_CV.py,irisliu0616/Short-text-Classification
from sklearn import metrics,tensorflow/examples/skflow/iris_custom_model.py,rew4332/tensorflow
from sklearn import metrics,sent_clustering3.py,iarroyof/nlp-pipeline
from sklearn import metrics,tensorflow/examples/skflow/mnist_weights.py,wchan/tensorflow
from sklearn import metrics,elviz_cluster.py,JanetMatsen/elvizAnalysis
from sklearn import metrics,tensorflow/examples/learn/iris_custom_model.py,alshedivat/tensorflow
from sklearn import metrics,tensorflow/examples/learn/boston.py,xodus7/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_val_based_early_stopping.py,GehenHe/Recognize-Face-on-Android
from sklearn import metrics,tensorflow/examples/learn/iris_val_based_early_stopping.py,okuchaiev/tensorflow-float16
from sklearn import metrics,tensorflow/examples/learn/iris.py,admcrae/tensorflow
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_cnn.py,xzturn/tensorflow
from sklearn import metrics,ch08/corrneighbours.py,DucQuang1/BuildingMachineLearningSystemsWithPython
from sklearn import metrics,grading/kMeans-submissions.py,chandlercr/aima-python
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_cnn.py,manazhao/tf_recsys
from sklearn import metrics,lib/libscores.py,djajetic/AutoML3Final
from sklearn import metrics,ldn_cluster.py,PhyloStar/AutoCogPhylo
from sklearn import metrics,tests/algorithms/rbfn/test_pnn.py,stczhc/neupy
from sklearn import metrics,src/engine4.py,gabrielspadon/SCC5948_DataScience
from sklearn import metrics,ch03/rel_post_mlcomp_01.py,wrichert/BuildingMachineLearningSystemsWithPython
from sklearn import metrics,Modulo12/preprocessing.py,xavi783/u-tad
from sklearn import metrics,tensorflow/examples/learn/text_classification.py,GehenHe/Recognize-Face-on-Android
from sklearn import metrics,rojak-analyzer/rojak_ovr_pair.py,rawgni/rojak
from sklearn import metrics,tensorflow/examples/learn/hdf5_classification.py,ageron/tensorflow
from sklearn import metrics,module123/CCC_16_32.py,KennyCandy/HAR
from sklearn import metrics,experiments/2014_CSCW_Tweetlocating/code/classify_benchmark.py,joh12041/quac
from sklearn import metrics,metric.py,KenjiroAI/SynThai
from sklearn import metrics,tensorflow/examples/learn/iris_run_config.py,ArtsiomCh/tensorflow
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_cnn.py,DCSaunders/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_run_config.py,asimshankar/tensorflow
from sklearn import metrics,release/python/0.4.0/crankshaft/crankshaft/segmentation/segmentation.py,CartoDB/crankshaft
from sklearn import metrics,tensorflow/examples/learn/boston.py,arborh/tensorflow
from sklearn import metrics,tensorflow/examples/skflow/mnist.py,panmari/tensorflow
from sklearn import metrics,naiveBayes/classify.py,frankdede/CMPUT466Project
from sklearn import metrics,tensorflow/examples/learn/text_classification.py,chenjun0210/tensorflow
from sklearn import metrics,examples/classification.py,ramon-oliveira/aorun
from sklearn import metrics,IDS/NaiveBayes.py,danialjahed/IDS-KDDcup
from sklearn import metrics,models/syntaxnet/tensorflow/tensorflow/examples/skflow/text_classification_character_cnn.py,plowman/python-mcparseface
from sklearn import metrics,tensorflow/examples/skflow/iris_save_restore.py,MostafaGazar/tensorflow
from sklearn import metrics,tensorflow/examples/learn/mnist.py,whn09/tensorflow
from sklearn import metrics,ProFET/Output/checkf1.py,ddofer/ProFET
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_rnn.py,Intel-tensorflow/tensorflow
